gene_id,description,pathway_id
10257,ATP binding cassette subfamily C member 4 (PEL blood group) [KO:K05673],hsa04976
10599,solute carrier organic anion transporter family member 1B1 [KO:K05043],hsa04976
107,adenylate cyclase 1 [KO:K08041] [EC:4.6.1.1],hsa04976
10720,UDP glucuronosyltransferase family 2 member B11 [KO:K00699] [EC:2.4.1.17],hsa04976
108,adenylate cyclase 2 [KO:K08042] [EC:4.6.1.1],hsa04976
1080,CF transmembrane conductance regulator [KO:K05031] [EC:5.6.1.6],hsa04976
10864,solute carrier family 22 member 7 [KO:K08204],hsa04976
109,adenylate cyclase 3 [KO:K08043] [EC:4.6.1.1],hsa04976
10941,UDP glucuronosyltransferase family 2 member A1 complex locus [KO:K00699] [EC:2.4.1.17],hsa04976
10998,solute carrier family 27 member 5 [KO:K08748] [EC:6.2.1.7],hsa04976
111,adenylate cyclase 5 [KO:K08045] [EC:4.6.1.1],hsa04976
112,adenylate cyclase 6 [KO:K08046] [EC:4.6.1.1],hsa04976
113,adenylate cyclase 7 [KO:K08047] [EC:4.6.1.1],hsa04976
114,adenylate cyclase 8 [KO:K08048] [EC:4.6.1.1],hsa04976
115,adenylate cyclase 9 [KO:K08049] [EC:4.6.1.1],hsa04976
115072896,SLCO1B3-SLCO1B7 readthrough [KO:K05043],hsa04976
123264,SLC51 subunit beta [KO:K14361],hsa04976
1244,ATP binding cassette subfamily C member 2 [KO:K05666],hsa04976
1576,cytochrome P450 family 3 subfamily A member 4 [KO:K17689] [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-],hsa04976
1581,cytochrome P450 family 7 subfamily A member 1 [KO:K00489] [EC:1.14.14.23],hsa04976
196883,adenylate cyclase 4 [KO:K08044] [EC:4.6.1.1],hsa04976
200931,solute carrier family 51 member A [KO:K14360],hsa04976
2052,epoxide hydrolase 1 [KO:K01253] [EC:3.3.2.9],hsa04976
23439,ATPase Na+/K+ transporting family member beta 4 [KO:K01540],hsa04976
2778,GNAS complex locus [KO:K04632],hsa04976
28234,solute carrier organic anion transporter family member 1B3 [KO:K05043],hsa04976
3156,3-hydroxy-3-methylglutaryl-CoA reductase [KO:K00021] [EC:1.1.1.34],hsa04976
343,aquaporin 8 [KO:K09869],hsa04976
358,aquaporin 1 (Colton blood group) [KO:K09864],hsa04976
361,aquaporin 4 [KO:K09866],hsa04976
366,aquaporin 9 [KO:K09877],hsa04976
3781,potassium calcium-activated channel subfamily N member 2 [KO:K04943],hsa04976
3949,low density lipoprotein receptor [KO:K12473],hsa04976
476,ATPase Na+/K+ transporting subunit alpha 1 [KO:K01539] [EC:7.2.2.13],hsa04976
477,ATPase Na+/K+ transporting subunit alpha 2 [KO:K01539] [EC:7.2.2.13],hsa04976
478,ATPase Na+/K+ transporting subunit alpha 3 [KO:K01539] [EC:7.2.2.13],hsa04976
480,ATPase Na+/K+ transporting subunit alpha 4 [KO:K01539] [EC:7.2.2.13],hsa04976
481,ATPase Na+/K+ transporting subunit beta 1 [KO:K01540],hsa04976
